"id","categoria","repositorio","url","licencia","actividad","utilidad_manos_abiertas","riesgo"
"33","i18n","messageformat/messageformat","https://github.com/messageformat/messageformat","MIT","2026-04","Pluralización y mensajes ICU compilados","B"
"34","i18n","globalizejs/globalize","https://github.com/globalizejs/globalize","MIT","2025-09","Internacionalización basada en CLDR","M"
"35","i18n","wooorm/franc","https://github.com/wooorm/franc","MIT","2024-03","Detección local del idioma de un texto","M"
"36","i18n","wooorm/bcp-47","https://github.com/wooorm/bcp-47","MIT","2026-07","Valida etiquetas de idioma BCP 47","B"
"37","i18n","mledoze/countries","https://github.com/mledoze/countries","ODbL-1.0","2026-07","Países idiomas monedas y traducciones","M"
"38","i18n","i18next/i18next-http-backend","https://github.com/i18next/i18next-http-backend","MIT","2026-07","Carga traducciones bajo demanda","B"
"39","i18n","i18next/i18next-browser-languageDetector","https://github.com/i18next/i18next-browser-languageDetector","MIT","2026-06","Detecta preferencia lingüística del navegador","B"
"40","i18n","locize/i18next-locize-backend","https://github.com/locize/i18next-locize-backend","MIT","2026-07","Conecta i18next con gestión remota de traducciones","M"
"41","mapas/geocoding","Leaflet/Leaflet","https://github.com/Leaflet/Leaflet","BSD-2-Clause","2026-07","Mapas móviles ligeros","B"
"42","mapas/geocoding","maplibre/maplibre-gl-js","https://github.com/maplibre/maplibre-gl-js","MIT","2026-08","Mapas vectoriales abiertos y personalizables","B"
"43","mapas/geocoding","openlayers/openlayers","https://github.com/openlayers/openlayers","BSD-2-Clause","2026-08","GIS web avanzado con múltiples fuentes","M"
"44","mapas/geocoding","mapbox/mapbox-gl-js","https://github.com/mapbox/mapbox-gl-js","Mapbox Terms/ND","2026-08","Mapas vectoriales con ecosistema Mapbox","A"
"45","mapas/geocoding","Project-OSRM/osrm-backend","https://github.com/Project-OSRM/osrm-backend","BSD-2-Clause","2026-08","Rutas rápidas sobre OpenStreetMap","M"
"46","mapas/geocoding","graphhopper/graphhopper","https://github.com/graphhopper/graphhopper","Apache-2.0","2026-08","Rutas multimodales y matrices de distancia","M"
"47","mapas/geocoding","valhalla/valhalla","https://github.com/valhalla/valhalla","ND","2026-08","Enrutamiento peatonal bicicleta coche y transporte","M"
"48","mapas/geocoding","osm-search/Nominatim","https://github.com/osm-search/Nominatim","AGPL-3.0","2026-08","Geocoding oficial del ecosistema OSM","M"
"49","mapas/geocoding","pelias/pelias","https://github.com/pelias/pelias","MIT","2026-07","Geocodificador modular con múltiples datasets","M"
"50","mapas/geocoding","komoot/photon","https://github.com/komoot/photon","Apache-2.0","2026-08","Búsqueda geográfica basada en OSM","M"
"51","mapas/geocoding","geopy/geopy","https://github.com/geopy/geopy","MIT","2026-07","Cliente Python para proveedores de geocoding","B"
"52","mapas/geocoding","Turfjs/turf","https://github.com/Turfjs/turf","MIT","2026-08","Cálculos geoespaciales en navegador","B"
"53","mapas/geocoding","visgl/react-map-gl","https://github.com/visgl/react-map-gl","MIT","2026-08","Componentes React para MapLibre y Mapbox","B"
"54","mapas/geocoding","PaulLeCam/react-leaflet","https://github.com/PaulLeCam/react-leaflet","ND","2025-06","Integración declarativa Leaflet-React","B"
"55","mapas/geocoding","openstreetmap/openstreetmap-website","https://github.com/openstreetmap/openstreetmap-website","GPL-2.0","2026-08","Referencia oficial de interacción con datos OSM","A"
"56","mapas/geocoding","osm2pgsql-dev/osm2pgsql","https://github.com/osm2pgsql-dev/osm2pgsql","GPL-2.0","2026-07","Importa OSM en PostgreSQL/PostGIS","M"
"57","mapas/geocoding","onthegomap/planetiler","https://github.com/onthegomap/planetiler","Apache-2.0","2026-08","Genera tiles vectoriales de alto rendimiento","M"
"58","mapas/geocoding","maplibre/martin","https://github.com/maplibre/martin","Apache-2.0","2026-08","Servidor de tiles desde PostGIS y PMTiles","M"
"59","mapas/geocoding","protomaps/PMTiles","https://github.com/protomaps/PMTiles","ND","2026-08","Distribuye mapas en un único archivo estático","B"
"60","mapas/geocoding","hotosm/tasking-manager","https://github.com/hotosm/tasking-manager","BSD-2-Clause","2026-08","Mapeo humanitario colaborativo","M"
"61","pwa/offline","GoogleChrome/workbox","https://github.com/GoogleChrome/workbox","MIT","2026-05","Service workers y caché offline robusta","B"
"62","pwa/offline","vite-pwa/vite-plugin-pwa","https://github.com/vite-pwa/vite-plugin-pwa","MIT","2026-05","PWA automática para proyectos Vite","M"
"63","pwa/offline","shadowwalker/next-pwa","https://github.com/shadowwalker/next-pwa","MIT","2024-01","PWA para Next.js tradicional","A"
"64","pwa/offline","serwist/serwist","https://github.com/serwist/serwist","MIT","2026-07","Service workers modernos compatibles con Next.js","B"
"65","pwa/offline","mdn/pwa-examples","https://github.com/mdn/pwa-examples","CC0-1.0","2026-07","Ejemplos oficiales de capacidades PWA","B"
"66","pwa/offline","GoogleChromeLabs/squoosh","https://github.com/GoogleChromeLabs/squoosh","Apache-2.0","2024-08","Referencia de PWA pesada y procesamiento offline","A"
"67","pwa/offline","kiwix/kiwix-js-pwa","https://github.com/kiwix/kiwix-js-pwa","AGPL-3.0","2026-08","Lectura educativa completamente offline","B"
"68","pwa/offline","pubkey/rxdb","https://github.com/pubkey/rxdb","Apache-2.0","2026-08","Base de datos local reactiva y sincronizable","M"
"69","pwa/offline","pouchdb/pouchdb","https://github.com/pouchdb/pouchdb","Apache-2.0","2026-07","Persistencia offline y sincronización CouchDB","M"
"70","pwa/offline","dexie/Dexie.js","https://github.com/dexie/Dexie.js","Apache-2.0","2026-08","IndexedDB sencilla y fiable","B"
"71","pwa/offline","localForage/localForage","https://github.com/localForage/localForage","Apache-2.0","2024-07","Almacenamiento local con API simple","A"
"72","pwa/offline","jakearchibald/idb","https://github.com/jakearchibald/idb","ISC","2025-05","Wrapper pequeño y moderno para IndexedDB","B"
"73","pwa/offline","web-push-libs/web-push","https://github.com/web-push-libs/web-push","ND","2026-08","Notificaciones push desde Node.js","M"
"74","pwa/offline","mozilla/serviceworker-cookbook","https://github.com/mozilla/serviceworker-cookbook","MIT","2022-11","Patrones educativos de service workers; archivado","A"
"75","pwa/offline","firtman/coffeemasters-pwa","https://github.com/firtman/coffeemasters-pwa","ND","2022-11","Ejemplo formativo de PWA instalable","A"
"76","pwa/offline","GoogleChromeLabs/web-push-codelab","https://github.com/GoogleChromeLabs/web-push-codelab","Apache-2.0","2021-08","Curso de Web Push; archivado","A"
"77","pwa/offline","GoogleChromeLabs/pwacompat","https://github.com/GoogleChromeLabs/pwacompat","Apache-2.0","2020-09","Compatibilidad histórica de manifiestos; archivado","A"
"78","pwa/offline","GoogleChromeLabs/bubblewrap","https://github.com/GoogleChromeLabs/bubblewrap","Apache-2.0","2026-07","Empaqueta una PWA para Android","M"
"79","pwa/offline","vite-pwa/assets-generator","https://github.com/vite-pwa/assets-generator","MIT","2025-10","Genera iconos y recursos PWA","B"
"80","pwa/offline","pwa-builder/PWABuilder","https://github.com/pwa-builder/PWABuilder","MIT","2026-08","Valida y empaqueta PWAs para tiendas","M"
"81","educacion/LMS","openedx/openedx-platform","https://github.com/openedx/openedx-platform","AGPL-3.0","2026-08","LMS universitario completo","A"
"82","educacion/LMS","moodle/moodle","https://github.com/moodle/moodle","GPL-3.0","2026-08","LMS maduro con cursos evaluaciones y seguimiento","A"
"83","educacion/LMS","instructure/canvas-lms","https://github.com/instructure/canvas-lms","AGPL-3.0","2026-04","LMS institucional y APIs educativas","A"
"84","educacion/LMS","oppia/oppia","https://github.com/oppia/oppia","Apache-2.0","2026-08","Lecciones interactivas adaptativas","M"
"85","educacion/LMS","learningequality/kolibri","https://github.com/learningequality/kolibri","MIT","2026-08","Educación offline para conectividad limitada","B"
"86","educacion/LMS","learningequality/studio","https://github.com/learningequality/studio","MIT","2026-08","Organiza y publica contenidos para Kolibri","M"
"87","educacion/LMS","pupilfirst/pupilfirst","https://github.com/pupilfirst/pupilfirst","MIT","2024-11","Cursos por objetivos y revisión de trabajos","A"
"88","educacion/LMS","overhangio/tutor","https://github.com/overhangio/tutor","AGPL-3.0","2026-08","Despliegue mantenible de Open edX","M"
"89","educacion/LMS","OpenOLAT/OpenOLAT","https://github.com/OpenOLAT/OpenOLAT","Apache-2.0","2026-08","LMS completo para instituciones","A"
"90","educacion/LMS","ILIAS-eLearning/ILIAS","https://github.com/ILIAS-eLearning/ILIAS","AGPL-3.0","2026-08","Gestión educativa y evaluaciones","A"
"91","educacion/LMS","chamilo/chamilo-lms","https://github.com/chamilo/chamilo-lms","AGPL-3.0","2026-08","LMS con orientación social y educativa","A"
"92","educacion/LMS","Doenet/DoenetML","https://github.com/Doenet/DoenetML","AGPL-3.0","2026-08","Actividades educativas interactivas reutilizables","M"
"93","educacion/LMS","freeCodeCamp/freeCodeCamp","https://github.com/freeCodeCamp/freeCodeCamp","BSD-3-Clause","2026-08","Modelo de currículo tecnológico gratuito","M"
"94","educacion/LMS","TheOdinProject/theodinproject","https://github.com/TheOdinProject/theodinproject","MIT","2026-08","Arquitectura de currículo web abierto","M"
"95","educacion/LMS","exercism/website","https://github.com/exercism/website","AGPL-3.0","2026-08","Ejercicios práctica y mentoría","M"
"96","educacion/LMS","jupyter/notebook","https://github.com/jupyter/notebook","BSD-3-Clause","2026-08","Cursos prácticos y laboratorios ejecutables","M"
"97","educacion/LMS","jupyterlite/jupyterlite","https://github.com/jupyterlite/jupyterlite","BSD-3-Clause","2026-08","Laboratorios Python ejecutados offline en navegador","B"
"98","educacion/LMS","h5p/h5p-php-library","https://github.com/h5p/h5p-php-library","AGPL-3.0","2026-08","Contenido educativo HTML5 interactivo","M"
"99","educacion/LMS","bigbluebutton/bigbluebutton","https://github.com/bigbluebutton/bigbluebutton","LGPL-3.0","2026-08","Aulas virtuales y videoconferencia","A"
"100","educacion/LMS","openedx/frontend-app-learning","https://github.com/openedx/frontend-app-learning","AGPL-3.0","2026-08","Frontend React de experiencia educativa Open edX","M"
"101","migracion/legal","refugies-info/karfur","https://github.com/refugies-info/karfur","MIT","2026-08","Plataforma pública de información para refugiados","M"
"102","migracion/legal","lale-help/lale-help","https://github.com/lale-help/lale-help","MIT","2026-03","Coordinación de voluntariado y apoyo a refugiados","M"
"103","migracion/legal","codeforboston/migrant_service_map","https://github.com/codeforboston/migrant_service_map","MIT","2021-09","Patrón de mapa de servicios para migrantes","A"
"104","migracion/legal","translation-cards/translation-cards","https://github.com/translation-cards/translation-cards","Apache-2.0","2017-01","Tarjetas offline para comunicación multilingüe","A"
"105","migracion/legal","unhcr/dataviz-population-change","https://github.com/unhcr/dataviz-population-change","BSD-3-Clause","2018-01","Visualización oficial de datos históricos UNHCR","A"
"106","migracion/legal","kpliuta/cita-previa-extranjeria-monitor","https://github.com/kpliuta/cita-previa-extranjeria-monitor","MIT","2026-02","Referencia española para disponibilidad de citas","M"
"107","migracion/legal","AFFT-520/NIEBot","https://github.com/AFFT-520/NIEBot","AGPL-3.0","2023-04","Referencia de citas de extranjería en Barcelona","A"
"108","migracion/legal","AwesomeVisa/awesome-immigration","https://github.com/AwesomeVisa/awesome-immigration","ND","2026-01","Directorio internacional de visados y movilidad","M"
"109","migracion/legal","openlegaldata/awesome-legal-data","https://github.com/openlegaldata/awesome-legal-data","ND","2026-08","Catálogo de datasets y herramientas legales","M"
"110","migracion/legal","openlegaldata/oldp","https://github.com/openlegaldata/oldp","MIT","2026-06","Arquitectura para legislación y jurisprudencia abiertas","M"
"111","migracion/legal","openfisca/openfisca-core","https://github.com/openfisca/openfisca-core","AGPL-3.0","2026-04","Motor de reglas para derechos y prestaciones","M"
"112","migracion/legal","openfisca/openfisca-france","https://github.com/openfisca/openfisca-france","ND","2026-07","Modelo de prestaciones; referencia no válida para España","A"
"113","migracion/legal","jhpyle/docassemble","https://github.com/jhpyle/docassemble","MIT","2026-08","Entrevistas guiadas y generación de documentos legales","M"
"114","migracion/legal","SuffolkLITLab/docassemble-AssemblyLine","https://github.com/SuffolkLITLab/docassemble-AssemblyLine","MIT","2026-07","Patrones accesibles para formularios jurídicos guiados","M"
"115","migracion/legal","laws-africa/indigo","https://github.com/laws-africa/indigo","LGPL-3.0","2026-08","Gestión estructurada de legislación","M"
"116","migracion/legal","TechImmigrants/cv-builder","https://github.com/TechImmigrants/cv-builder","MIT","2026-07","CV adaptado a ofertas para profesionales migrantes","M"
"117","migracion/legal","abdullahbutt/leben-in-deutschland-test","https://github.com/abdullahbutt/leben-in-deutschland-test","MIT","2026-08","Patrón multilingüe para preparación cívica","M"
"118","migracion/legal","lockdown-systems/icewatch","https://github.com/lockdown-systems/icewatch","GPL-3.0","2026-06","Referencia de dashboard de detención; jurisdicción EEUU","A"
"119","migracion/legal","RetroHazard/JP_Immigration_Dashboard","https://github.com/RetroHazard/JP_Immigration_Dashboard","MIT","2026-08","Patrón de dashboard estadístico migratorio","M"
"120","migracion/legal","VeraSuperHub/vera-eb-suite","https://github.com/VeraSuperHub/vera-eb-suite","GPL-3.0","2026-05","Organización asistida de evidencias migratorias; alto riesgo legal","A"
"121","seguridad/privacy","OWASP/ASVS","https://github.com/OWASP/ASVS","CC-BY-SA-4.0","2026-07","Requisitos verificables de seguridad web","B"
"122","seguridad/privacy","OWASP/CheatSheetSeries","https://github.com/OWASP/CheatSheetSeries","CC0-1.0","2026-08","Guías prácticas contra vulnerabilidades comunes","B"
"123","seguridad/privacy","OWASP/NodeGoat","https://github.com/OWASP/NodeGoat","Apache-2.0","2023-06","Ejemplos educativos de fallos Node.js","A"
"124","seguridad/privacy","OWASP/wstg","https://github.com/OWASP/wstg","CC-BY-SA-4.0","2026-08","Metodología completa de pruebas de seguridad","B"
"125","seguridad/privacy","zaproxy/zaproxy","https://github.com/zaproxy/zaproxy","Apache-2.0","2026-08","Escáner DAST para staging y CI","M"
"126","seguridad/privacy","helmetjs/helmet","https://github.com/helmetjs/helmet","MIT","2026-07","Cabeceras de seguridad para Node.js","B"
"127","seguridad/privacy","express-rate-limit/express-rate-limit","https://github.com/express-rate-limit/express-rate-limit","ND","2026-08","Limitación de abuso en endpoints","B"
"128","seguridad/privacy","nextauthjs/next-auth","https://github.com/nextauthjs/next-auth","ISC","2026-07","Autenticación compatible con Next.js","B"
"129","seguridad/privacy","auth0/nextjs-auth0","https://github.com/auth0/nextjs-auth0","MIT","2026-08","Integración Auth0 mantenida para Next.js","M"
"130","seguridad/privacy","microsoft/presidio","https://github.com/microsoft/presidio","MIT","2026-08","Detecta y anonimiza datos personales","M"
"131","seguridad/privacy","transcend-io/consent-manager-ui","https://github.com/transcend-io/consent-manager-ui","MIT","2026-04","Interfaz de consentimiento y privacidad","M"
"132","seguridad/privacy","orestbida/cookieconsent","https://github.com/orestbida/cookieconsent","MIT","2026-05","Consentimiento de cookies ligero","B"
"133","seguridad/privacy","w3c/dpv","https://github.com/w3c/dpv","ND","2026-08","Vocabulario para modelar tratamiento y consentimiento","M"
"134","seguridad/privacy","lissy93/awesome-privacy","https://github.com/lissy93/awesome-privacy","CC0-1.0","2026-08","Catálogo de tecnologías orientadas a privacidad","M"
"135","seguridad/privacy","FiloSottile/age","https://github.com/FiloSottile/age","BSD-3-Clause","2026-03","Cifrado sencillo de exportaciones y backups","B"
"136","seguridad/privacy","smallstep/certificates","https://github.com/smallstep/certificates","Apache-2.0","2026-07","PKI y certificados autohospedados","A"
"137","seguridad/privacy","mozilla/http-observatory","https://github.com/mozilla/http-observatory","MPL-2.0","2024-10","Evalúa cabeceras y configuración HTTP","M"
"138","seguridad/privacy","aquasecurity/trivy","https://github.com/aquasecurity/trivy","Apache-2.0","2026-08","Escanea dependencias contenedores e IaC","B"
"139","seguridad/privacy","gitleaks/gitleaks","https://github.com/gitleaks/gitleaks","MIT","2026-07","Detecta secretos antes de publicar","B"
"140","seguridad/privacy","secretlint/secretlint","https://github.com/secretlint/secretlint","MIT","2026-08","Reglas para impedir secretos en archivos","B"
"141","observabilidad/testing","microsoft/playwright","https://github.com/microsoft/playwright","Apache-2.0","2026-08","Pruebas reales mult navegador y móvil","B"
"142","observabilidad/testing","cypress-io/cypress","https://github.com/cypress-io/cypress","MIT","2026-08","Pruebas E2E con depuración visual","B"
"143","observabilidad/testing","vitest-dev/vitest","https://github.com/vitest-dev/vitest","MIT","2026-08","Tests rápidos para TypeScript y React","B"
"144","observabilidad/testing","jestjs/jest","https://github.com/jestjs/jest","MIT","2026-08","Framework de pruebas general","B"
"145","observabilidad/testing","testing-library/react-testing-library","https://github.com/testing-library/react-testing-library","MIT","2026-04","Pruebas React centradas en comportamiento real","B"
"146","observabilidad/testing","mswjs/msw","https://github.com/mswjs/msw","MIT","2026-07","Mocks de red reutilizables en navegador y Node","B"
"147","observabilidad/testing","grafana/k6","https://github.com/grafana/k6","AGPL-3.0","2026-08","Pruebas de carga y rendimiento","M"
"148","observabilidad/testing","grafana/grafana","https://github.com/grafana/grafana","AGPL-3.0","2026-08","Dashboards de métricas y logs","A"
"149","observabilidad/testing","getsentry/sentry","https://github.com/getsentry/sentry","Apache-2.0","2026-08","Errores frontend backend y trazas","M"
"150","observabilidad/testing","open-telemetry/opentelemetry-js","https://github.com/open-telemetry/opentelemetry-js","Apache-2.0","2026-08","Instrumentación estándar para JavaScript","M"
"151","observabilidad/testing","open-telemetry/opentelemetry-collector","https://github.com/open-telemetry/opentelemetry-collector","Apache-2.0","2026-08","Recibe y exporta telemetría","A"
"152","observabilidad/testing","prometheus/prometheus","https://github.com/prometheus/prometheus","Apache-2.0","2026-08","Métricas y alertas autohospedadas","A"
"153","observabilidad/testing","GoogleChrome/lighthouse-ci","https://github.com/GoogleChrome/lighthouse-ci","Apache-2.0","2025-06","Control de regresiones Lighthouse en CI","B"
"154","observabilidad/testing","puppeteer/puppeteer","https://github.com/puppeteer/puppeteer","Apache-2.0","2026-08","Automatización Chrome y pruebas de flujos","B"
"155","observabilidad/testing","stryker-mutator/stryker-js","https://github.com/stryker-mutator/stryker-js","Apache-2.0","2026-07","Mide calidad real mediante mutation testing","M"
"156","observabilidad/testing","cucumber/cucumber-js","https://github.com/cucumber/cucumber-js","MIT","2026-08","Pruebas de aceptación legibles","M"
"157","observabilidad/testing","clinicjs/node-clinic","https://github.com/clinicjs/node-clinic","MIT","2024-09","Diagnóstico de rendimiento Node.js","A"
"158","observabilidad/testing","qawolf/qawolf","https://github.com/qawolf/qawolf","Apache-2.0","2026-08","Automatización de pruebas web sobre Playwright","M"
"159","observabilidad/testing","argos-ci/argos","https://github.com/argos-ci/argos","MIT","2026-08","Regresión visual y comparación de capturas","M"
"160","observabilidad/testing","grafana/faro-web-sdk","https://github.com/grafana/faro-web-sdk","Apache-2.0","2026-08","Telemetría y errores del navegador","M"
"161","Next.js/React","vercel/next.js","https://github.com/vercel/next.js","MIT","2026-08","Framework principal y ejemplos oficiales","B"
"162","Next.js/React","facebook/react","https://github.com/facebook/react","MIT","2026-08","Base oficial de la interfaz","B"
"163","Next.js/React","vercel/examples","https://github.com/vercel/examples","MIT","2026-08","Implementaciones oficiales de patrones Next.js","B"
"164","Next.js/React","shadcn-ui/ui","https://github.com/shadcn-ui/ui","MIT","2026-08","Componentes editables basados en primitivas accesibles","B"
"165","Next.js/React","mui/material-ui","https://github.com/mui/material-ui","MIT","2026-08","Sistema React amplio y accesible","M"
"166","Next.js/React","chakra-ui/chakra-ui","https://github.com/chakra-ui/chakra-ui","MIT","2026-08","Componentes accesibles y temables","M"
"167","Next.js/React","tailwindlabs/headlessui","https://github.com/tailwindlabs/headlessui","MIT","2026-04","Componentes accesibles sin estilos cerrados","B"
"168","Next.js/React","TanStack/query","https://github.com/TanStack/query","MIT","2026-08","Caché y sincronización de datos remotos","B"
"169","Next.js/React","pmndrs/zustand","https://github.com/pmndrs/zustand","MIT","2026-07","Estado global pequeño y compatible con React","B"
"170","Next.js/React","react-hook-form/react-hook-form","https://github.com/react-hook-form/react-hook-form","MIT","2026-08","Formularios rápidos con validación accesible","B"
"171","Next.js/React","vercel/swr","https://github.com/vercel/swr","MIT","2026-08","Carga de datos y revalidación ligera","B"
"172","Next.js/React","motiondivision/motion","https://github.com/motiondivision/motion","MIT","2026-08","Animación React con soporte de movimiento reducido","M"
"173","Next.js/React","colinhacks/zod","https://github.com/colinhacks/zod","MIT","2026-08","Validación tipada de formularios y APIs","B"
"174","Next.js/React","prisma/prisma","https://github.com/prisma/prisma","Apache-2.0","2026-08","ORM tipado para recursos cuentas y progreso","B"
"175","Next.js/React","supabase/supabase","https://github.com/supabase/supabase","Apache-2.0","2026-08","Backend Postgres auth storage y tiempo real","M"
"176","Next.js/React","vercel/ai","https://github.com/vercel/ai","Apache-2.0","2026-08","Streaming y herramientas de IA para React","M"
"177","Next.js/React","pacocoursey/next-themes","https://github.com/pacocoursey/next-themes","MIT","2025-05","Preferencias visuales persistentes","B"
"178","Next.js/React","t3-oss/create-t3-app","https://github.com/t3-oss/create-t3-app","MIT","2025-12","Referencia de arquitectura Next.js tipada","M"
"179","Next.js/React","reactjs/react.dev","https://github.com/reactjs/react.dev","CC-BY-4.0","2026-08","Documentación y ejemplos oficiales React","B"
"180","Next.js/React","reduxjs/redux-toolkit","https://github.com/reduxjs/redux-toolkit","MIT","2026-08","Estado complejo y flujos auditables","M"
"181","datasets/ETL","dbt-labs/dbt-core","https://github.com/dbt-labs/dbt-core","Apache-2.0","2026-08","Transformaciones SQL versionadas y verificables","M"
"182","datasets/ETL","apache/airflow","https://github.com/apache/airflow","Apache-2.0","2026-08","Orquestación de actualizaciones periódicas","A"
"183","datasets/ETL","mage-ai/mage-ai","https://github.com/mage-ai/mage-ai","Apache-2.0","2026-08","Pipelines visuales para ingestión y limpieza","M"
"184","datasets/ETL","meltano/meltano","https://github.com/meltano/meltano","MIT","2026-08","Integración de fuentes mediante Singer","M"
"185","datasets/ETL","dlt-hub/dlt","https://github.com/dlt-hub/dlt","Apache-2.0","2026-08","Carga de APIs y datos con Python","B"
"186","datasets/ETL","airbytehq/airbyte","https://github.com/airbytehq/airbyte","Mixta ELv2/MIT","2026-08","Conectores para cientos de fuentes","A"
"187","datasets/ETL","kestra-io/kestra","https://github.com/kestra-io/kestra","Apache-2.0","2026-08","Orquestación declarativa de pipelines","M"
"188","datasets/ETL","datahub-project/datahub","https://github.com/datahub-project/datahub","Apache-2.0","2026-08","Catálogo y linaje de datos","A"
"189","datasets/ETL","open-metadata/OpenMetadata","https://github.com/open-metadata/OpenMetadata","Apache-2.0","2026-08","Gobierno calidad y procedencia de datasets","A"
"190","datasets/ETL","duckdb/duckdb","https://github.com/duckdb/duckdb","MIT","2026-08","Analítica local rápida sin servidor","B"
"191","datasets/ETL","pandas-dev/pandas","https://github.com/pandas-dev/pandas","BSD-3-Clause","2026-08","Limpieza validación y transformación de datos","B"
"192","datasets/ETL","frictionlessdata/frictionless-py","https://github.com/frictionlessdata/frictionless-py","MIT","2026-07","Valida esquemas CSV y paquetes de datos","B"
"193","datasets/ETL","openaddresses/openaddresses","https://github.com/openaddresses/openaddresses","BSD-3-Clause","2026-08","Direcciones abiertas para geocoding","M"
"194","datasets/ETL","awesomedata/awesome-public-datasets","https://github.com/awesomedata/awesome-public-datasets","MIT","2026-08","Directorio mundial de datasets públicos","M"
"195","datasets/ETL","owid/owid-datasets","https://github.com/owid/owid-datasets","ND","2025-04","Dataset histórico de indicadores globales; archivado","A"
